NewsID,Title,Text,Label
94,Amazing discovery changes everything,The sensational post contains unsupported statements and asks readers to believe the claim without verification.,Fake
95,Health officials release advisory,Researchers published their findings after reviewing available evidence and conducting further analysis.,Real
96,Company announces quarterly results,Officials released the information through an official statement and provided details about the decision.,Real
97,This unbelievable story is spreading rapidly,The claim is spreading online and says that everyone should believe this secret information immediately.,Fake
98,Company announces quarterly results,Researchers published their findings after reviewing available evidence and conducting further analysis.,Real
99,This unbelievable story is spreading rapidly,The claim is spreading online and says that everyone should believe this secret information immediately.,Fake
100,Local authorities issue public notice,Authorities said the public should follow the official guidance and rely on verified information.,Real
101,Weather department releases forecast,The organization reported the results and said additional details would be provided in its regular update.,Real
102,Hidden truth finally exposed,The claim is spreading online and says that everyone should believe this secret information immediately.,Fake
103,Secret information government does not want you to know,The claim is spreading online and says that everyone should believe this secret information immediately.,Fake
104,Viral claim sparks controversy online,The viral story says something extraordinary happened and encourages readers to share it with everyone.,Fake
105,Hidden truth finally exposed,The sensational post contains unsupported statements and asks readers to believe the claim without verification.,Fake
106,New education guidelines announced,Officials released the information through an official statement and provided details about the decision.,Real
107,Health officials release advisory,The report contains information collected from public records and statements from relevant authorities.,Real
108,Viral claim sparks controversy online,An unverified post makes a dramatic claim but provides no reliable evidence or official source.,Fake
109,Amazing discovery changes everything,An unverified post makes a dramatic claim but provides no reliable evidence or official source.,Fake
110,Amazing discovery changes everything,An unverified post makes a dramatic claim but provides no reliable evidence or official source.,Fake
111,New economic report released,The report contains information collected from public records and statements from relevant authorities.,Real
112,Health officials release advisory,Officials released the information through an official statement and provided details about the decision.,Real
113,Weather department releases forecast,The organization reported the results and said additional details would be provided in its regular update.,Real
114,New economic report released,Researchers published their findings after reviewing available evidence and conducting further analysis.,Real
115,Health officials release advisory,The organization reported the results and said additional details would be provided in its regular update.,Real
116,New education guidelines announced,Officials released the information through an official statement and provided details about the decision.,Real
117,Hidden truth finally exposed,The claim is spreading online and says that everyone should believe this secret information immediately.,Fake
118,Weather department releases forecast,Authorities said the public should follow the official guidance and rely on verified information.,Real
119,Viral claim sparks controversy online,"A social media message claims that experts are hiding the truth, although no credible evidence is provided.",Fake
120,This unbelievable story is spreading rapidly,The viral story says something extraordinary happened and encourages readers to share it with everyone.,Fake
121,New education guidelines announced,The organization reported the results and said additional details would be provided in its regular update.,Real
122,Experts say unbelievable miracle cure works,The claim is spreading online and says that everyone should believe this secret information immediately.,Fake
123,Weather department releases forecast,Researchers published their findings after reviewing available evidence and conducting further analysis.,Real
124,Government announces new policy,The organization reported the results and said additional details would be provided in its regular update.,Real
125,Local authorities issue public notice,The organization reported the results and said additional details would be provided in its regular update.,Real
126,Weather department releases forecast,The organization reported the results and said additional details would be provided in its regular update.,Real
127,Weather department releases forecast,Researchers published their findings after reviewing available evidence and conducting further analysis.,Real
128,Hidden truth finally exposed,The sensational post contains unsupported statements and asks readers to believe the claim without verification.,Fake
129,Experts say unbelievable miracle cure works,The viral story says something extraordinary happened and encourages readers to share it with everyone.,Fake
130,Viral claim sparks controversy online,The viral story says something extraordinary happened and encourages readers to share it with everyone.,Fake
131,New education guidelines announced,The report contains information collected from public records and statements from relevant authorities.,Real
132,Company announces quarterly results,Officials released the information through an official statement and provided details about the decision.,Real
133,Shocking secret revealed to the public,An unverified post makes a dramatic claim but provides no reliable evidence or official source.,Fake
134,Viral claim sparks controversy online,An unverified post makes a dramatic claim but provides no reliable evidence or official source.,Fake
135,Weather department releases forecast,Officials released the information through an official statement and provided details about the decision.,Real
136,Secret information government does not want you to know,The claim is spreading online and says that everyone should believe this secret information immediately.,Fake
137,Viral claim sparks controversy online,The sensational post contains unsupported statements and asks readers to believe the claim without verification.,Fake
138,Viral claim sparks controversy online,The viral story says something extraordinary happened and encourages readers to share it with everyone.,Fake
139,Health officials release advisory,Researchers published their findings after reviewing available evidence and conducting further analysis.,Real
140,Shocking secret revealed to the public,The sensational post contains unsupported statements and asks readers to believe the claim without verification.,Fake
141,Company announces quarterly results,Officials released the information through an official statement and provided details about the decision.,Real
142,Weather department releases forecast,Authorities said the public should follow the official guidance and rely on verified information.,Real
143,Health officials release advisory,The report contains information collected from public records and statements from relevant authorities.,Real
144,Secret information government does not want you to know,"A social media message claims that experts are hiding the truth, although no credible evidence is provided.",Fake
145,Weather department releases forecast,The organization reported the results and said additional details would be provided in its regular update.,Real
146,New economic report released,The organization reported the results and said additional details would be provided in its regular update.,Real
147,Hidden truth finally exposed,An unverified post makes a dramatic claim but provides no reliable evidence or official source.,Fake
148,Experts say unbelievable miracle cure works,The claim is spreading online and says that everyone should believe this secret information immediately.,Fake
149,Secret information government does not want you to know,"A social media message claims that experts are hiding the truth, although no credible evidence is provided.",Fake
150,This unbelievable story is spreading rapidly,An unverified post makes a dramatic claim but provides no reliable evidence or official source.,Fake
151,Health officials release advisory,Researchers published their findings after reviewing available evidence and conducting further analysis.,Real
152,Hidden truth finally exposed,An unverified post makes a dramatic claim but provides no reliable evidence or official source.,Fake
153,Shocking secret revealed to the public,The claim is spreading online and says that everyone should believe this secret information immediately.,Fake
154,You will not believe what happened next,The sensational post contains unsupported statements and asks readers to believe the claim without verification.,Fake
155,Shocking secret revealed to the public,The claim is spreading online and says that everyone should believe this secret information immediately.,Fake
156,You will not believe what happened next,"A social media message claims that experts are hiding the truth, although no credible evidence is provided.",Fake
157,Local authorities issue public notice,The report contains information collected from public records and statements from relevant authorities.,Real
158,New economic report released,Researchers published their findings after reviewing available evidence and conducting further analysis.,Real
159,New economic report released,The organization reported the results and said additional details would be provided in its regular update.,Real
160,Experts say unbelievable miracle cure works,An unverified post makes a dramatic claim but provides no reliable evidence or official source.,Fake
161,New education guidelines announced,Authorities said the public should follow the official guidance and rely on verified information.,Real
162,Experts say unbelievable miracle cure works,The sensational post contains unsupported statements and asks readers to believe the claim without verification.,Fake
163,This unbelievable story is spreading rapidly,"A social media message claims that experts are hiding the truth, although no credible evidence is provided.",Fake
164,Company announces quarterly results,Officials released the information through an official statement and provided details about the decision.,Real
165,Secret information government does not want you to know,The claim is spreading online and says that everyone should believe this secret information immediately.,Fake
166,You will not believe what happened next,The claim is spreading online and says that everyone should believe this secret information immediately.,Fake
167,Hidden truth finally exposed,An unverified post makes a dramatic claim but provides no reliable evidence or official source.,Fake
168,Health officials release advisory,The organization reported the results and said additional details would be provided in its regular update.,Real
169,New education guidelines announced,The organization reported the results and said additional details would be provided in its regular update.,Real
170,You will not believe what happened next,The claim is spreading online and says that everyone should believe this secret information immediately.,Fake
171,Government announces new policy,Authorities said the public should follow the official guidance and rely on verified information.,Real
172,Amazing discovery changes everything,The sensational post contains unsupported statements and asks readers to believe the claim without verification.,Fake
173,Shocking secret revealed to the public,"A social media message claims that experts are hiding the truth, although no credible evidence is provided.",Fake
174,Government announces new policy,Researchers published their findings after reviewing available evidence and conducting further analysis.,Real
175,New education guidelines announced,Authorities said the public should follow the official guidance and rely on verified information.,Real
176,This unbelievable story is spreading rapidly,"A social media message claims that experts are hiding the truth, although no credible evidence is provided.",Fake
177,Viral claim sparks controversy online,The sensational post contains unsupported statements and asks readers to believe the claim without verification.,Fake
178,Local authorities issue public notice,Officials released the information through an official statement and provided details about the decision.,Real
179,Secret information government does not want you to know,"A social media message claims that experts are hiding the truth, although no credible evidence is provided.",Fake
180,This unbelievable story is spreading rapidly,The claim is spreading online and says that everyone should believe this secret information immediately.,Fake
181,Company announces quarterly results,The report contains information collected from public records and statements from relevant authorities.,Real
182,Amazing discovery changes everything,An unverified post makes a dramatic claim but provides no reliable evidence or official source.,Fake
183,New education guidelines announced,The organization reported the results and said additional details would be provided in its regular update.,Real
184,New economic report released,Authorities said the public should follow the official guidance and rely on verified information.,Real
185,Experts say unbelievable miracle cure works,"A social media message claims that experts are hiding the truth, although no credible evidence is provided.",Fake
186,Amazing discovery changes everything,The sensational post contains unsupported statements and asks readers to believe the claim without verification.,Fake
187,Government announces new policy,The report contains information collected from public records and statements from relevant authorities.,Real
188,Experts say unbelievable miracle cure works,The sensational post contains unsupported statements and asks readers to believe the claim without verification.,Fake
189,Amazing discovery changes everything,The viral story says something extraordinary happened and encourages readers to share it with everyone.,Fake
190,Secret information government does not want you to know,The claim is spreading online and says that everyone should believe this secret information immediately.,Fake
191,Shocking secret revealed to the public,The claim is spreading online and says that everyone should believe this secret information immediately.,Fake
192,Hidden truth finally exposed,"A social media message claims that experts are hiding the truth, although no credible evidence is provided.",Fake
193,Company announces quarterly results,Authorities said the public should follow the official guidance and rely on verified information.,Real
194,You will not believe what happened next,An unverified post makes a dramatic claim but provides no reliable evidence or official source.,Fake
195,Viral claim sparks controversy online,The viral story says something extraordinary happened and encourages readers to share it with everyone.,Fake
196,New economic report released,Authorities said the public should follow the official guidance and rely on verified information.,Real
197,Hidden truth finally exposed,"A social media message claims that experts are hiding the truth, although no credible evidence is provided.",Fake
198,Viral claim sparks controversy online,The claim is spreading online and says that everyone should believe this secret information immediately.,Fake
199,You will not believe what happened next,The sensational post contains unsupported statements and asks readers to believe the claim without verification.,Fake
200,Government announces new policy,Authorities said the public should follow the official guidance and rely on verified information.,Real
201,Health officials release advisory,Officials released the information through an official statement and provided details about the decision.,Real
202,Weather department releases forecast,The report contains information collected from public records and statements from relevant authorities.,Real
203,Health officials release advisory,The organization reported the results and said additional details would be provided in its regular update.,Real
204,Company announces quarterly results,The organization reported the results and said additional details would be provided in its regular update.,Real
205,Secret information government does not want you to know,"A social media message claims that experts are hiding the truth, although no credible evidence is provided.",Fake
206,Hidden truth finally exposed,The claim is spreading online and says that everyone should believe this secret information immediately.,Fake
207,Shocking secret revealed to the public,The claim is spreading online and says that everyone should believe this secret information immediately.,Fake
208,Viral claim sparks controversy online,The claim is spreading online and says that everyone should believe this secret information immediately.,Fake
209,Amazing discovery changes everything,The viral story says something extraordinary happened and encourages readers to share it with everyone.,Fake
210,Shocking secret revealed to the public,The viral story says something extraordinary happened and encourages readers to share it with everyone.,Fake
211,Health officials release advisory,Authorities said the public should follow the official guidance and rely on verified information.,Real
212,Company announces quarterly results,The report contains information collected from public records and statements from relevant authorities.,Real
213,New economic report released,The report contains information collected from public records and statements from relevant authorities.,Real
214,Local authorities issue public notice,Authorities said the public should follow the official guidance and rely on verified information.,Real
215,Local authorities issue public notice,Researchers published their findings after reviewing available evidence and conducting further analysis.,Real
216,Shocking secret revealed to the public,The claim is spreading online and says that everyone should believe this secret information immediately.,Fake
217,Local authorities issue public notice,The organization reported the results and said additional details would be provided in its regular update.,Real
218,Secret information government does not want you to know,The sensational post contains unsupported statements and asks readers to believe the claim without verification.,Fake
219,Secret information government does not want you to know,An unverified post makes a dramatic claim but provides no reliable evidence or official source.,Fake
220,Company announces quarterly results,Officials released the information through an official statement and provided details about the decision.,Real
221,Health officials release advisory,The report contains information collected from public records and statements from relevant authorities.,Real
222,Secret information government does not want you to know,The claim is spreading online and says that everyone should believe this secret information immediately.,Fake
223,Experts say unbelievable miracle cure works,The claim is spreading online and says that everyone should believe this secret information immediately.,Fake
224,New economic report released,Officials released the information through an official statement and provided details about the decision.,Real
225,You will not believe what happened next,The claim is spreading online and says that everyone should believe this secret information immediately.,Fake
226,Experts say unbelievable miracle cure works,The claim is spreading online and says that everyone should believe this secret information immediately.,Fake
227,Government announces new policy,The organization reported the results and said additional details would be provided in its regular update.,Real
228,Weather department releases forecast,Authorities said the public should follow the official guidance and rely on verified information.,Real
229,Viral claim sparks controversy online,The sensational post contains unsupported statements and asks readers to believe the claim without verification.,Fake
230,Secret information government does not want you to know,The sensational post contains unsupported statements and asks readers to believe the claim without verification.,Fake
231,Experts say unbelievable miracle cure works,An unverified post makes a dramatic claim but provides no reliable evidence or official source.,Fake
232,Company announces quarterly results,Officials released the information through an official statement and provided details about the decision.,Real
233,Scientists publish research findings,The organization reported the results and said additional details would be provided in its regular update.,Real
234,Amazing discovery changes everything,The claim is spreading online and says that everyone should believe this secret information immediately.,Fake
235,This unbelievable story is spreading rapidly,An unverified post makes a dramatic claim but provides no reliable evidence or official source.,Fake
236,Health officials release advisory,The report contains information collected from public records and statements from relevant authorities.,Real
237,Weather department releases forecast,Researchers published their findings after reviewing available evidence and conducting further analysis.,Real
238,Hidden truth finally exposed,The claim is spreading online and says that everyone should believe this secret information immediately.,Fake
239,Secret information government does not want you to know,The viral story says something extraordinary happened and encourages readers to share it with everyone.,Fake
240,Health officials release advisory,The organization reported the results and said additional details would be provided in its regular update.,Real
241,Experts say unbelievable miracle cure works,The viral story says something extraordinary happened and encourages readers to share it with everyone.,Fake
242,Weather department releases forecast,Authorities said the public should follow the official guidance and rely on verified information.,Real
243,Experts say unbelievable miracle cure works,An unverified post makes a dramatic claim but provides no reliable evidence or official source.,Fake
244,Viral claim sparks controversy online,The viral story says something extraordinary happened and encourages readers to share it with everyone.,Fake
245,New economic report released,Authorities said the public should follow the official guidance and rely on verified information.,Real
246,Shocking secret revealed to the public,"A social media message claims that experts are hiding the truth, although no credible evidence is provided.",Fake
247,New economic report released,Researchers published their findings after reviewing available evidence and conducting further analysis.,Real
248,Secret information government does not want you to know,"A social media message claims that experts are hiding the truth, although no credible evidence is provided.",Fake
249,Government announces new policy,The report contains information collected from public records and statements from relevant authorities.,Real
250,Hidden truth finally exposed,The sensational post contains unsupported statements and asks readers to believe the claim without verification.,Fake
251,Secret information government does not want you to know,An unverified post makes a dramatic claim but provides no reliable evidence or official source.,Fake
252,Scientists publish research findings,Researchers published their findings after reviewing available evidence and conducting further analysis.,Real
253,Scientists publish research findings,Officials released the information through an official statement and provided details about the decision.,Real
254,Health officials release advisory,Researchers published their findings after reviewing available evidence and conducting further analysis.,Real
255,Health officials release advisory,Authorities said the public should follow the official guidance and rely on verified information.,Real
256,Health officials release advisory,Officials released the information through an official statement and provided details about the decision.,Real
257,You will not believe what happened next,The viral story says something extraordinary happened and encourages readers to share it with everyone.,Fake
258,Experts say unbelievable miracle cure works,The sensational post contains unsupported statements and asks readers to believe the claim without verification.,Fake
259,Scientists publish research findings,The organization reported the results and said additional details would be provided in its regular update.,Real
260,Local authorities issue public notice,The report contains information collected from public records and statements from relevant authorities.,Real
261,Company announces quarterly results,Officials released the information through an official statement and provided details about the decision.,Real
262,Hidden truth finally exposed,An unverified post makes a dramatic claim but provides no reliable evidence or official source.,Fake
263,Shocking secret revealed to the public,An unverified post makes a dramatic claim but provides no reliable evidence or official source.,Fake
264,Shocking secret revealed to the public,An unverified post makes a dramatic claim but provides no reliable evidence or official source.,Fake
265,Shocking secret revealed to the public,The viral story says something extraordinary happened and encourages readers to share it with everyone.,Fake
266,Secret information government does not want you to know,The claim is spreading online and says that everyone should believe this secret information immediately.,Fake
267,Government announces new policy,Officials released the information through an official statement and provided details about the decision.,Real
268,Hidden truth finally exposed,An unverified post makes a dramatic claim but provides no reliable evidence or official source.,Fake
269,Amazing discovery changes everything,An unverified post makes a dramatic claim but provides no reliable evidence or official source.,Fake
270,Amazing discovery changes everything,The viral story says something extraordinary happened and encourages readers to share it with everyone.,Fake
271,New education guidelines announced,Researchers published their findings after reviewing available evidence and conducting further analysis.,Real
272,Amazing discovery changes everything,The viral story says something extraordinary happened and encourages readers to share it with everyone.,Fake
273,Secret information government does not want you to know,An unverified post makes a dramatic claim but provides no reliable evidence or official source.,Fake
274,Scientists publish research findings,Researchers published their findings after reviewing available evidence and conducting further analysis.,Real
275,Government announces new policy,The organization reported the results and said additional details would be provided in its regular update.,Real
276,New education guidelines announced,Officials released the information through an official statement and provided details about the decision.,Real
277,Amazing discovery changes everything,An unverified post makes a dramatic claim but provides no reliable evidence or official source.,Fake
278,Shocking secret revealed to the public,The claim is spreading online and says that everyone should believe this secret information immediately.,Fake
279,Government announces new policy,Authorities said the public should follow the official guidance and rely on verified information.,Real
280,Government announces new policy,The organization reported the results and said additional details would be provided in its regular update.,Real
281,Local authorities issue public notice,The report contains information collected from public records and statements from relevant authorities.,Real
282,This unbelievable story is spreading rapidly,The claim is spreading online and says that everyone should believe this secret information immediately.,Fake
283,Experts say unbelievable miracle cure works,The claim is spreading online and says that everyone should believe this secret information immediately.,Fake
284,Local authorities issue public notice,The report contains information collected from public records and statements from relevant authorities.,Real
285,You will not believe what happened next,The viral story says something extraordinary happened and encourages readers to share it with everyone.,Fake
286,Secret information government does not want you to know,The claim is spreading online and says that everyone should believe this secret information immediately.,Fake
287,Weather department releases forecast,The organization reported the results and said additional details would be provided in its regular update.,Real
288,New education guidelines announced,Authorities said the public should follow the official guidance and rely on verified information.,Real
289,Amazing discovery changes everything,The claim is spreading online and says that everyone should believe this secret information immediately.,Fake
290,Scientists publish research findings,The organization reported the results and said additional details would be provided in its regular update.,Real
291,Viral claim sparks controversy online,An unverified post makes a dramatic claim but provides no reliable evidence or official source.,Fake
292,You will not believe what happened next,"A social media message claims that experts are hiding the truth, although no credible evidence is provided.",Fake
293,Weather department releases forecast,Officials released the information through an official statement and provided details about the decision.,Real
294,Weather department releases forecast,Researchers published their findings after reviewing available evidence and conducting further analysis.,Real
295,Experts say unbelievable miracle cure works,The viral story says something extraordinary happened and encourages readers to share it with everyone.,Fake
296,You will not believe what happened next,The sensational post contains unsupported statements and asks readers to believe the claim without verification.,Fake
297,Amazing discovery changes everything,An unverified post makes a dramatic claim but provides no reliable evidence or official source.,Fake
298,Scientists publish research findings,Authorities said the public should follow the official guidance and rely on verified information.,Real
299,Shocking secret revealed to the public,"A social media message claims that experts are hiding the truth, although no credible evidence is provided.",Fake
300,New economic report released,The organization reported the results and said additional details would be provided in its regular update.,Real
301,Viral claim sparks controversy online,"A social media message claims that experts are hiding the truth, although no credible evidence is provided.",Fake
302,Scientists publish research findings,Officials released the information through an official statement and provided details about the decision.,Real
303,Health officials release advisory,The report contains information collected from public records and statements from relevant authorities.,Real
304,Experts say unbelievable miracle cure works,"A social media message claims that experts are hiding the truth, although no credible evidence is provided.",Fake
305,Health officials release advisory,The report contains information collected from public records and statements from relevant authorities.,Real
306,New education guidelines announced,The organization reported the results and said additional details would be provided in its regular update.,Real
307,Government announces new policy,Researchers published their findings after reviewing available evidence and conducting further analysis.,Real
308,Weather department releases forecast,Researchers published their findings after reviewing available evidence and conducting further analysis.,Real
309,Government announces new policy,The organization reported the results and said additional details would be provided in its regular update.,Real
310,Hidden truth finally exposed,An unverified post makes a dramatic claim but provides no reliable evidence or official source.,Fake
311,Health officials release advisory,Researchers published their findings after reviewing available evidence and conducting further analysis.,Real
312,Hidden truth finally exposed,The viral story says something extraordinary happened and encourages readers to share it with everyone.,Fake
313,Health officials release advisory,Authorities said the public should follow the official guidance and rely on verified information.,Real
314,This unbelievable story is spreading rapidly,The viral story says something extraordinary happened and encourages readers to share it with everyone.,Fake
315,Amazing discovery changes everything,"A social media message claims that experts are hiding the truth, although no credible evidence is provided.",Fake
316,Company announces quarterly results,The organization reported the results and said additional details would be provided in its regular update.,Real
317,You will not believe what happened next,An unverified post makes a dramatic claim but provides no reliable evidence or official source.,Fake
318,Shocking secret revealed to the public,The sensational post contains unsupported statements and asks readers to believe the claim without verification.,Fake
319,Experts say unbelievable miracle cure works,The viral story says something extraordinary happened and encourages readers to share it with everyone.,Fake
320,Shocking secret revealed to the public,The claim is spreading online and says that everyone should believe this secret information immediately.,Fake
321,Government announces new policy,The report contains information collected from public records and statements from relevant authorities.,Real
322,This unbelievable story is spreading rapidly,The viral story says something extraordinary happened and encourages readers to share it with everyone.,Fake
323,Amazing discovery changes everything,The viral story says something extraordinary happened and encourages readers to share it with everyone.,Fake
324,This unbelievable story is spreading rapidly,An unverified post makes a dramatic claim but provides no reliable evidence or official source.,Fake
325,New education guidelines announced,The organization reported the results and said additional details would be provided in its regular update.,Real
326,Weather department releases forecast,Researchers published their findings after reviewing available evidence and conducting further analysis.,Real
327,Amazing discovery changes everything,The claim is spreading online and says that everyone should believe this secret information immediately.,Fake
